lat,lon,wave_lat,wave_lon,bearing,distance
13.5556252,80.0259484,13.5556252,80.0259484,0,0
13.5556252,80.0259933660803,13.555625204371346,80.02599337057691,90.0,4.86
13.5556252,80.0260383321606,13.555625204371346,80.02603833665721,90.0,4.86
13.5556252,80.02608329824089,13.555625204371346,80.0260833027375,90.0,4.86
13.5556252,80.02612826432119,13.555625204371346,80.0261282688178,90.0,4.86
13.5556252,80.02617323040148,13.555625204371346,80.0261732348981,90.0,4.86
13.5556252,80.02621819648178,13.555625204371346,80.02621820097839,90.0,4.86
13.5556252,80.02626316256207,13.555625204371346,80.02626316705869,90.0,4.86
13.5556252,80.02630812864237,13.555625204371346,80.02630813313898,90.0,4.86
13.5556252,80.02635309472267,13.555625204371346,80.02635309921928,90.0,4.86
13.5556252,80.02639806080296,13.555625204371346,80.02639806529957,90.0,4.86